CODE	EN	Code-8digits
30192600-7	Drawing boards	30192600
30192700-8	Stationery	30192700
30192800-9	Self-adhesive labels	30192800
30192900-0	Correction media	30192900
30192910-3	Correction film or tape	30192910
30192920-6	Correction fluid	30192920
30192930-9	Correction pens	30192930
30192940-2	Correction pen refills	30192940
30192950-5	Electrical erasers	30192950
30193000-8	Organisers and accessories	30193000
30193100-9	Desk drawer organisers	30193100
30193200-0	Desktop trays or organisers	30193200
30193300-1	Hanging organisers	30193300
30193400-2	Book ends	30193400
30193500-3	Literature rack	30193500
30193600-4	Support for diaries or calendars	30193600
30193700-5	File storage box	30193700
30193800-6	Message holders	30193800
30193900-7	Copy holders	30193900
30194000-5	Drafting supplies	30194000
30194100-6	Curves	30194100
30194200-7	Drafting dots, tapes and films	30194200
30194210-0	Drafting dots or tapes	30194210
30194220-3	Drafting films	30194220
30194300-8	Drafting kits, sets and papers	30194300
30194310-1	Drafting kits or sets	30194310
30194320-4	Drafting papers	30194320
30194400-9	Drafting table covers	30194400
30194500-0	Lettering aids	30194500
30194600-1	Protractors	30194600
30194700-2	Templates	30194700
30194800-3	T-squares and triangles	30194800
30194810-6	T-squares	30194810
30194820-9	Triangles	30194820
30194900-4	Work surface protection covers	30194900
30195000-2	Boards	30195000
30195100-3	Planning boards or accessories	30195100
30195200-4	Electronic copyboards or accessories	30195200
30195300-5	Letter boards or accessories	30195300
30195400-6	Dry erase boards or accessories	30195400
30195500-7	Chalk boards or accessories	30195500
30195600-8	Bulletin boards or accessories	30195600
30195700-9	Board cleaning kits or accessories	30195700
30195800-0	Hanging rails or holders	30195800
30195900-1	Whiteboards and magnetic boards	30195900
30195910-4	Whiteboards	30195910
30195911-1	Whiteboard accessories	30195911
30195912-8	Whiteboard easels	30195912
30195913-5	Flipchart easels	30195913
30195920-7	Magnetic boards	30195920
30195921-4	Erasers for magnetic boards	30195921
30196000-9	Planning systems	30196000
30196100-0	Meeting planners	30196100
30196200-1	Appointment books or refills	30196200
30196300-2	Suggestion box	30196300
30197000-6	Small office equipment	30197000
30197100-7	Staples, tacks, drawing pins	30197100
30197110-0	Staples	30197110
30197120-3	Tacks	30197120
30197130-6	Drawing pins	30197130
30197200-8	Ring binders and paper clips	30197200
30197210-1	Ring binders	30197210
30197220-4	Paper clips	30197220
30197221-1	Paperclip holder	30197221
30197300-9	Letter openers, staplers and hole punches	30197300
30197310-2	Letter openers	30197310
30197320-5	Staplers	30197320
30197321-2	Staple removers	30197321
30197330-8	Hole punches	30197330
30197400-0	Stamp sponge	30197400
30197500-1	Sealing wax	30197500
30197510-4	Sealing wax accessories	30197510
30197600-2	Processed paper and paperboard	30197600
30197610-5	Composite paper and paperboard	30197610
30197620-8	Writing paper	30197620
30197621-5	Flipchart pad	30197621
30197630-1	Printing paper	30197630
30197640-4	Self-copy or other copy paper	30197640
30197641-1	Thermographic paper	30197641
30197642-8	Photocopier paper and xerographic paper	30197642
30197643-5	Photocopier paper	30197643
30197644-2	Xerographic paper	30197644
30197645-9	Card for printing	30197645
30198000-3	Lottery machines	30198000
30198100-4	Pulling machines	30198100
30199000-0	Paper stationery and other items	30199000
30199100-1	Carbon paper, self-copy paper, paper duplicator stencils and carbonless paper	30199100
30199110-4	Carbon paper	30199110
30199120-7	Self-copy paper	30199120
30199130-0	Carbonless paper	30199130
30199140-3	Paper duplicator stencils	30199140
30199200-2	Envelopes, letter cards and plain postcards	30199200
30199210-5	Letter cards	30199210
30199220-8	Plain postcards	30199220
30199230-1	Envelopes	30199230
30199240-4	Mailing kit	30199240
30199300-3	Embossed or perforated paper	30199300
30199310-6	Embossed or perforated printing paper	30199310
30199320-9	Embossed or perforated writing paper	30199320
30199330-2	Continuous paper for computer printers	30199330
30199340-5	Continuous forms	30199340
30199400-4	Gummed or adhesive paper	30199400
30199410-7	Self-adhesive paper	30199410
30199500-5	Box files, letter trays, storage boxes and similar articles	30199500
30199600-6	Dividers for stationery	30199600
30199700-7	Printed stationery except forms	30199700
30199710-0	Printed envelopes	30199710
30199711-7	Printed window envelopes	30199711
30199712-4	Printed non-window envelopes	30199712
30199713-1	Printed X-ray envelopes	30199713
30199720-3	Notepaper	30199720
30199730-6	Business cards	30199730
30199731-3	Business card holders	30199731
30199740-9	Compliment slips	30199740
30199750-2	Coupons	30199750
30199760-5	Labels	30199760
30199761-2	Bar-coded labels	30199761
30199762-9	Luggage tags	30199762
30199763-6	Theft protection labels	30199763
30199770-8	Luncheon vouchers	30199770
30199780-1	Blotting pads	30199780
30199790-4	Timetables	30199790
30199791-1	Wall planners	30199791
30199792-8	Calendars	30199792
30199793-5	Diary stands	30199793
30200000-1	Computer equipment and supplies	30200000
30210000-4	Data-processing machines (hardware)	30210000
30211000-1	Mainframe computer	30211000
30211100-2	Super computer	30211100
30211200-3	Mainframe hardware	30211200
30211300-4	Computer platforms	30211300
30211400-5	Computer configurations	30211400
30211500-6	Central processing unit (CPU) or processors	30211500
30212000-8	Minicomputer hardware	30212000
30212100-9	Central processing units for minicomputers	30212100
30213000-5	Personal computers	30213000
30213100-6	Portable computers	30213100
30213200-7	Tablet computer	30213200
30213300-8	Desktop computer	30213300
30213400-9	Central processing units for personal computers	30213400
30213500-0	Pocket computers	30213500
30214000-2	Workstations	30214000
30215000-9	Microcomputer hardware	30215000
30215100-0	Central processing units for microcomputers	30215100
30216000-6	Magnetic or optical readers	30216000
30216100-7	Optical readers	30216100
30216110-0	Scanners for computer use	30216110
30216120-3	Optical-character-recognition equipment	30216120
30216130-6	Barcode readers	30216130
30216200-8	Magnetic card readers	30216200
30216300-9	Punchcard readers	30216300
30220000-7	Digital cartography equipment	30220000
30221000-4	Digital cadastral maps	30221000
30230000-0	Computer-related equipment	30230000
30231000-7	Computer screens and consoles	30231000
30231100-8	Computer terminals	30231100
30231200-9	Consoles	30231200
30231300-0	Display screens	30231300
30231310-3	Flat panel displays	30231310
30231320-6	Touch screen monitors	30231320
30232000-4	Peripheral equipment	30232000
30232100-5	Printers and plotters	30232100
30232110-8	Laser printers	30232110
30232120-1	Dot-matrix printers	30232120
30232130-4	Colour graphics printers	30232130
30232140-7	Plotters	30232140
30232150-0	Inkjet printers	30232150
30232600-0	Encoders	30232600
30232700-1	Central controlling unit	30232700
30233000-1	Media storage and reader devices	30233000
30233100-2	Computer storage units	30233100
30233110-5	Magnetic card storage units	30233110
30233120-8	Magnetic tape storage units	30233120
30233130-1	Magnetic disk storage units	30233130
30233131-8	Floppy-disk drives	30233131
30233132-5	Hard-disk drives	30233132
30233140-4	Direct-access storage devices (DASD)	30233140
30233141-1	Redundant Array of Independent Disk (RAID)	30233141
30233150-7	Optical-disk drives	30233150
30233151-4	Compact disk (CD) reader and/or burner	30233151
30233152-1	Digital versatile disc (DVD) reader and/or burner	30233152
30233153-8	Compact disk (CD) and digital versatile disk (DVD) reader and/or burner	30233153
30233160-0	Tape streamers	30233160
30233161-7	Cassette-handling equipment	30233161
30233170-3	Carousel units	30233170
30233180-6	Flash memory storage devices	30233180
30233190-9	Disk controller	30233190
30233300-4	Smart card readers	30233300
30233310-7	Fingerprint readers	30233310
30233320-0	Combined smart card and fingerprint readers	30233320
30234000-8	Storage media	30234000
30234100-9	Magnetic disk	30234100
30234200-0	Optical disks	30234200
30234300-1	Compact disks (CDs)	30234300
30234400-2	Digital versatile disks (DVDs)	30234400
30234500-3	Memory storage media	30234500
30234600-4	Flash memory	30234600
30234700-5	Magnetic tapes	30234700
30236000-2	Miscellaneous computer equipment	30236000
30236100-3	Memory-expansion equipment	30236100
30236110-6	Random access memory (RAM)	30236110
30236111-3	Dynamic random access memory (DRAM)	30236111
30236112-0	Static random access memory (SRAM)	30236112
30236113-7	Synchronous dynamic random access memory (SDRAM)	30236113
30236114-4	Rambus dynamic random access memory (RDRAM)	30236114
30236115-1	Synchronous graphic random access memory (SGRAM)	30236115
30236120-9	Read only memory (ROM)	30236120
30236121-6	Programmable read only memory (PROM)	30236121
30236122-3	Erasable programmable read only memory (EPROM)	30236122
30236123-0	Electronically erasable programmable read only memory (EEPROM)	30236123
30236200-4	Data-processing equipment	30236200
30237000-9	Parts, accessories and supplies for computers	30237000
30237100-0	Parts of computers	30237100
30237110-3	Network interfaces	30237110
30237120-6	Computer ports	30237120
30237121-3	Serial infrared ports	30237121
30237130-9	Computer cards	30237130
30237131-6	Electronic cards	30237131
30237132-3	Universal Serial Bus (USB) Interfaces	30237132
30237133-0	Personal Computer Memory Card International Association (PCMCIA) adaptors and interfaces	30237133
30237134-7	Graphic accelerator cards	30237134
30237135-4	Network interfaces cards	30237135
30237136-1	Audio cards	30237136
30237140-2	Motherboards	30237140
30237200-1	Computer accessories	30237200
30237210-4	Anti-glare screens	30237210
30237220-7	Mousepads	30237220
30237230-0	Caches	30237230
30237240-3	Web camera	30237240
30237250-6	Computer cleaning accessories	30237250
30237251-3	Computer cleaning kits	30237251
30237252-0	Pressurised air dusters	30237252
30237253-7	Dust covers for computer equipment	30237253
30237260-9	Monitor wall mount arms	30237260
30237270-2	Portable computer carrying cases	30237270
30237280-5	Power supply accessories	30237280
30237290-8	Keyboard wrist rests	30237290
30237295-3	Keyguards	30237295
30237300-2	Computer supplies	30237300
30237310-5	Font cartridges for printers	30237310
30237320-8	Diskettes	30237320
30237330-1	Digital Audio Tape (DAT) cartridges	30237330
30237340-4	Digital Linear Tape (DLT) cartridges	30237340
30237350-7	Data cartridges	30237350
30237360-0	Linear Tape-Open (LTO) cartridges	30237360
30237370-3	Recording cartridges	30237370
30237380-6	CD-ROM	30237380
30237400-3	Data entry accessories	30237400
30237410-6	Computer mouse	30237410
30237420-9	Joysticks	30237420
30237430-2	Light pens	30237430
30237440-5	Trackballs	30237440
30237450-8	Graphics tablets	30237450
30237460-1	Computer keyboards	30237460
30237461-8	Programmable keyboards	30237461
30237470-4	Braille pads	30237470
30237475-9	Electric sensors	30237475
30237480-7	Input units	30237480
30238000-6	Library automation equipment	30238000
31000000-6	Electrical machinery, apparatus, equipment and consumables; lighting	31000000
31100000-7	Electric motors, generators and transformers	31100000
31110000-0	Electric motors	31110000
31111000-7	Adapters	31111000
31120000-3	Generators	31120000
31121000-0	Generating sets	31121000
31121100-1	Generating sets with compression-ignition engines	31121100
31121110-4	Power converters	31121110
31121111-1	Electric rotary converters	31121111
31121200-2	Generating sets with spark-ignition engines	31121200
31121300-3	Wind-energy generators	31121300
31121310-6	Windmills	31121310
31121320-9	Wind turbines	31121320
31121330-2	Wind turbine generators	31121330
31121331-9	Turbine rotors	31121331
31121340-5	Wind farm	31121340
31122000-7	Generator units	31122000
31122100-8	Fuel cells	31122100
31124000-1	Steam-turbine generator and related apparatus	31124000
31124100-2	Turbine generator sets	31124100
31124200-3	Turbine generator control apparatus	31124200
31126000-5	Dynamos	31126000
31127000-2	Emergency generator	31127000
31128000-9	Turbogenerator	31128000
31130000-6	Alternators	31130000
31131000-3	Single-phase motors	31131000
31131100-4	Actuators	31131100
31131200-5	Anodes	31131200
31132000-0	Multi-phase motors	31132000
31140000-9	Cooling towers	31140000
31141000-6	Water coolers	31141000
31150000-2	Ballasts for discharge lamps or tubes	31150000
31151000-9	Static converters	31151000
31153000-3	Rectifiers	31153000
31154000-0	Uninterruptible power supplies	31154000
31155000-7	Inverters	31155000
31156000-4	Interruptible power supplies	31156000
31157000-1	Inductors	31157000
31158000-8	Chargers	31158000
31158100-9	Battery chargers	31158100
31158200-0	Supercharger	31158200
31158300-1	Turbocharger	31158300
31160000-5	Parts of electric motors, generators and transformers	31160000
31161000-2	Parts for electrical motors and generators	31161000
31161100-3	Excitation systems	31161100
31161200-4	Gas cooling systems	31161200
31161300-5	Generator rotors	31161300
31161400-6	Primary water systems	31161400
31161500-7	Seal oil systems	31161500
31161600-8	Stator cooling water systems	31161600
31161700-9	Parts of steam generators	31161700
31161800-0	Parts of gas generators	31161800
31161900-1	Voltage-control systems	31161900
31162000-9	Parts of transformers, inductors and static converters	31162000
31162100-0	Parts of condensers	31162100
31170000-8	Transformers	31170000
31171000-5	Liquid dielectric transformers	31171000
31172000-2	Voltage transformers	31172000
31173000-9	Instrument transformer	31173000
31174000-6	Power supply transformers	31174000
31200000-8	Electricity distribution and control apparatus	31200000
31210000-1	Electrical apparatus for switching or protecting electrical circuits	31210000
31211000-8	Boards and fuse boxes	31211000
31211100-9	Boards for electrical apparatus	31211100
31211110-2	Control panels	31211110
31211200-0	Fuse boxes	31211200
31211300-1	Fuses	31211300
31211310-4	Cut-outs	31211310
31211320-7	Fuse blocks	31211320
31211330-0	Fuse wires	31211330
31211340-3	Fuse clips	31211340
31212000-5	Circuit breakers	31212000
31212100-6	Overhead circuit breakers	31212100
31212200-7	Circuit testers	31212200
31212300-8	Magnetic circuit breakers	31212300
31212400-9	Miniature circuit breakers	31212400
31213000-2	Distribution equipment	31213000
31213100-3	Distribution boxes	31213100
31213200-4	Distribution transformers	31213200
31213300-5	Cable distribution cabinet	31213300
31213400-6	Distribution system	31213400
31214000-9	Switchgear	31214000
31214100-0	Switches	31214100
31214110-3	Isolating switches	31214110
31214120-6	Earthing switch	31214120
31214130-9	Safety switches	31214130
31214140-2	Dimmer switches	31214140
31214150-5	Drum switches	31214150
31214160-8	Pressure switches	31214160
31214170-1	Toggle switches	31214170
31214180-4	Slide switches	31214180
31214190-7	Limit switches	31214190
31214200-1	Switch disconnector	31214200
31214300-2	Outdoor switching installations	31214300
31214400-3	Fuse switch disconnector	31214400
31214500-4	Electric switchboards	31214500
31214510-7	Distribution switchboards	31214510
31214520-0	Medium-voltage switchboards	31214520
31215000-6	Voltage limiters	31215000
31216000-3	Lightning arrestors	31216000
31216100-4	Lightning-protection equipment	31216100
31216200-5	Lightning conductors	31216200
31217000-0	Surge suppressors	31217000
31218000-7	Busbars	31218000
31219000-4	Protection boxes	31219000
31220000-4	Electrical circuit components	31220000
31221000-1	Electrical relays	31221000
31221100-2	Power relays	31221100
31221200-3	General purpose relays	31221200
31221300-4	Socket relays	31221300
31221400-5	Alternating voltage relays	31221400
31221500-6	Mercury relays	31221500
31221600-7	Time relays	31221600
31221700-8	Overload relays	31221700
31223000-5	Lamp-holders	31223000
31224000-2	Connections and contact elements	31224000
31224100-3	Plugs and sockets	31224100
31224200-4	Coaxial connectors	31224200
31224300-5	Connection boxes	31224300
31224400-6	Connection cables	31224400
31224500-7	Terminals	31224500
31224600-8	Dimmers	31224600
31224700-9	Junction boxes	31224700
31224800-0	Cable joining kits	31224800
31224810-3	Extension cables	31224810
31230000-7	Parts of electricity distribution or control apparatus	31230000
31300000-9	Insulated wire and cable	31300000
31310000-2	Mains	31310000
31311000-9	Mains connections	31311000
31320000-5	Power distribution cables	31320000
31321000-2	Electricity power lines	31321000
31321100-3	Overhead power lines	31321100
31321200-4	Low- and medium-voltage cable	31321200
31321210-7	Low-voltage cable	31321210
31321220-0	Medium-voltage cable	31321220
31321300-5	High-voltage cable	31321300
31321400-6	Underwater cable	31321400
31321500-7	Submarine cable	31321500
31321600-8	Shielded cable	31321600
31321700-9	Signalling cable	31321700
31330000-8	Coaxial cable	31330000
31340000-1	Insulated cable accessories	31340000
31341000-8	Insulated cable reels	31341000
31342000-5	Insulated cable junctions	31342000
31343000-2	Insulated cable joints	31343000
31344000-9	Insulated cable glands	31344000
31350000-4	Electric conductors for data and control purposes	31350000
31351000-1	Electric conductors for access control systems	31351000
31400000-0	Accumulators, primary cells and primary batteries	31400000
31410000-3	Primary cells	31410000
31411000-0	Alkaline batteries	31411000
31420000-6	Primary batteries	31420000
31421000-3	Lead batteries	31421000
31422000-0	Battery packs	31422000
31430000-9	Electric accumulators	31430000
31431000-6	Lead-acid accumulators	31431000
31432000-3	Nickel-cadmium accumulators	31432000
31433000-0	Nickel-iron accumulators	31433000
31434000-7	Lithium accumulators	31434000
31440000-2	Batteries	31440000
31500000-1	Lighting equipment and electric lamps	31500000
31510000-4	Electric filament lamps	31510000
31511000-1	Sealed-beam lamp units	31511000
31512000-8	Tungsten halogen filament lamps	31512000
31512100-9	Halogen bulbs, linear	31512100
31512200-0	Halogen bulbs, bi-pin	31512200
31512300-1	Halogen bulbs, dichroic	31512300
31514000-2	Discharge lamps	31514000
31515000-9	Ultraviolet lamps	31515000
31516000-6	Infrared lamps	31516000
31517000-3	Arc lamps	31517000
31518000-0	Signalling lights	31518000
31518100-1	Floodlights	31518100
31518200-2	Emergency lighting equipment	31518200
31518210-5	Stormlights	31518210
31518220-8	Light stick	31518220
31518300-3	Rooflights	31518300
31518500-5	Mercury-vapour lamps	31518500
31518600-6	Searchlights	31518600
31519000-7	Incandescent and neon lamps	31519000
31519100-8	Incandescent lamps	31519100
31519200-9	Neon lamps	31519200
31520000-7	Lamps and light fittings	31520000
31521000-4	Lamps	31521000
31521100-5	Desk lamps	31521100
31521200-6	Floor-standing lamps	31521200
31521300-7	Portable electric lamps	31521300
31521310-0	Warning lights	31521310
31521320-3	Torches	31521320
31521330-6	Rechargeable portable electric lamps	31521330
31522000-1	Christmas tree lights	31522000
31523000-8	Illuminated signs and nameplates	31523000
31523100-9	Advertising neon lights	31523100
31523200-0	Permanent message signs	31523200
31523300-1	Illuminated nameplates	31523300
31524000-5	Ceiling or wall light fittings	31524000
31524100-6	Ceiling light fittings	31524100
31524110-9	Operating-theatre lamps	31524110
31524120-2	Ceiling lights	31524120
31524200-7	Wall light fittings	31524200
31524210-0	Wall lights	31524210
31527000-6	Spotlights	31527000
31527200-8	Exterior lights	31527200
31527210-1	Lanterns	31527210
31527260-6	Lighting systems	31527260
31527270-9	Platforms lighting	31527270
31527300-9	Domestic lights	31527300
31527400-0	Underwater lights	31527400
31530000-0	Parts of lamps and lighting equipment	31530000
31531000-7	Light bulbs	31531000
31531100-8	Electric tubes	31531100
31532000-4	Parts of lamps and light fittings	31532000
31532100-5	Tube lamps	31532100
31532110-8	Fluorescent tube lamps	31532110
31532120-1	Compact fluorescent tube lamps	31532120
31532200-6	Ring lamps	31532200
31532210-9	Fluorescent ring lamps	31532210
31532300-7	Globe lamps	31532300
31532310-0	Compact fluorescent globe lamps	31532310
31532400-8	Lamps sockets	31532400
31532500-9	Lamp starters	31532500
31532510-2	Starters for fluorescent lamps	31532510
31532600-0	Lamp reactors	31532600
31532610-3	Reactors for fluorescent lamps	31532610
31532700-1	Lamp covers	31532700
31532800-2	Lamp arms	31532800
31532900-3	Fluorescent lights	31532900
31532910-6	Fluorescent tubes	31532910
31532920-9	Bulbs and fluorescent lamps	31532920
31600000-2	Electrical equipment and apparatus	31600000
31610000-5	Electrical equipment for engines and vehicles	31610000
31611000-2	Wiring sets	31611000
31612000-9	Electrical wiring looms for engines	31612000
31612200-1	Starter motors	31612200
31612300-2	Electrical signalling equipment for engines	31612300
31612310-5	Blinkers	31612310
31620000-8	Sound or visual signalling apparatus	31620000
31625000-3	Burglar and fire alarms	31625000
31625100-4	Fire-detection systems	31625100
31625200-5	Fire-alarm systems	31625200
31625300-6	Burglar-alarm systems	31625300
31630000-1	Magnets	31630000
31640000-4	Machines and apparatus with individual functions	31640000
31642000-8	Electronic detection apparatus	31642000
31642100-9	Detection apparatus for metal pipes	31642100
31642200-0	Detection apparatus for mines	31642200
31642300-1	Detection apparatus for plastics	31642300
31642400-2	Detection apparatus for non-metallic objects	31642400
31642500-3	Detection apparatus for timber	31642500
31643000-5	Particle accelerators	31643000
31643100-6	Linear accelerators	31643100
31644000-2	Miscellaneous data recorders	31644000
31645000-9	Pinball machines	31645000
31650000-7	Insulating fittings	31650000
31651000-4	Electrical tape	31651000
31660000-0	Carbon electrodes	31660000
31670000-3	Electrical parts of machinery or apparatus	31670000
31671000-0	Glass envelopes and cathode-ray tubes	31671000
31671100-1	Glass envelopes	31671100
31671200-2	Cathode-ray tubes	31671200
31680000-6	Electrical supplies and accessories	31680000
31681000-3	Electrical accessories	31681000
31681100-4	Electrical contacts	31681100
31681200-5	Electric pumps	31681200
31681300-6	Electrical circuits	31681300
31681400-7	Electrical components	31681400
31681410-0	Electrical materials	31681410
31681500-8	Rechargers	31681500
31682000-0	Electricity supplies	31682000
31682100-1	Electricity boxes	31682100
31682110-4	Electricity box covers	31682110
31682200-2	Instrument panels	31682200
31682210-5	Instrumentation and control equipment	31682210
31682220-8	Mixing panels	31682220
31682230-1	Graphic display panels	31682230
31682300-3	Medium-voltage equipment	31682300
31682310-6	Medium-voltage panels	31682310
31682400-4	Overhead electrical equipment	31682400
31682410-7	Overhead cable carriers	31682410
31682500-5	Emergency electricity equipment	31682500
31682510-8	Emergency power systems	31682510
31682520-1	Emergency shutdown systems	31682520
31682530-4	Emergency power supplies	31682530
31682540-7	Substation equipment	31682540
31700000-3	Electronic, electromechanical and electrotechnical supplies	31700000
31710000-6	Electronic equipment	31710000
31711000-3	Electronic supplies	31711000
31711100-4	Electronic components	31711100
31711110-7	Transceivers	31711110
31711120-0	Transducers	31711120
31711130-3	Resistors	31711130
31711131-0	Electrical resistors	31711131
31711140-6	Electrodes	31711140
31711150-9	Electrical capacitors	31711150
31711151-6	Fixed capacitors	31711151
31711152-3	Variable or adjustable capacitors	31711152
31711154-0	Capacitor banks	31711154
31711155-7	Capacitor networks	31711155
31711200-5	Electronic scoreboards	31711200
31711300-6	Electronic timekeeping systems	31711300
31711310-9	System for recording attendance	31711310
31711400-7	Valves and tubes	31711400
31711410-0	Cathode-ray television picture tubes	31711410
31711411-7	Television camera tubes	31711411
31711420-3	Microwave tubes and equipment	31711420
31711421-0	Magnetrons	31711421
31711422-7	Microwave equipment	31711422
31711423-4	Microwave radio equipment	31711423
31711424-1	Klystrons	31711424
31711430-6	Valve tubes	31711430
31711440-9	Receiver or amplifier valves and tubes	31711440
31711500-8	Parts of electronic assemblies	31711500
31711510-1	Parts of electrical capacitors	31711510
31711520-4	Parts of electrical resistors, rheostats and potentiometers	31711520
31711530-7	Parts of electronic valves and tubes	31711530
31712000-0	Microelectronic machinery and apparatus and microsystems	31712000
31712100-1	Microelectronic machinery and apparatus	31712100
31712110-4	Electronic integrated circuits and microassemblies	31712110
31712111-1	Phone cards	31712111
31712112-8	SIM cards	31712112
31712113-5	Cards containing integrated circuits	31712113
31712114-2	Integrated electronic circuits	31712114
31712115-9	Microassemblies	31712115
31712116-6	Microprocessors	31712116
31712117-3	Integrated circuit packages	31712117
31712118-0	Integrated circuit sockets or mounts	31712118
31712119-7	Integrated circuit lids	31712119
31712200-2	Microsystems	31712200
31712300-3	Printed circuits	31712300
31712310-6	Populated printed circuit boards	31712310
31712320-9	Unpopulated printed circuit boards	31712320
31712330-2	Semiconductors	31712330
31712331-9	Photovoltaic cells	31712331
31712332-6	Thyristors	31712332
31712333-3	Diacs	31712333
31712334-0	Triacs	31712334
31712335-7	Optical coupled isolators	31712335
31712336-4	Crystal oscillators	31712336
31712340-5	Diodes	31712340
31712341-2	Light-emitting diodes	31712341
31712342-9	Microwave or small signal diodes	31712342
31712343-6	Zener diodes	31712343
31712344-3	Schottky diodes	31712344
31712345-0	Tunnel diodes	31712345
31712346-7	Photosensitive diodes	31712346
31712347-4	Power or solar diodes	31712347
31712348-1	Laser diodes	31712348
31712349-8	Radio frequency (RF) diodes	31712349
31712350-8	Transistors	31712350
31712351-5	Photo sensitive transistors	31712351
31712352-2	Field effect transistors (FET)	31712352
31712353-9	Metal oxide field effect transistors (MOSFET)	31712353
31712354-6	Transistor chips	31712354
31712355-3	Bipolar darlington or radio frequency (RF) transistors	31712355
31712356-0	Unijunction transistors	31712356
31712357-7	Insulated gate bipolar transistors (IGBT)	31712357
31712358-4	Junction field effect transistors (JFET)	31712358
31712359-1	Bipolar junction transistors (BJT)	31712359
31712360-1	Mounted piezo-electric crystals	31712360
31720000-9	Electromechanical equipment	31720000
31730000-2	Electrotechnical equipment	31730000
31731000-9	Electrotechnical supplies	31731000
31731100-0	Modules	31731100
32000000-3	Radio, television, communication, telecommunication and related equipment	32000000
32200000-5	Transmission apparatus for radiotelephony, radiotelegraphy, radio broadcasting and television	32200000
32210000-8	Broadcasting equipment	32210000
32211000-5	Broadcast production equipment	32211000
32220000-1	Television transmission apparatus without reception apparatus	32220000
32221000-8	Radio beacons	32221000
32222000-5	Video-signal coding machines	32222000
32223000-2	Video transmission apparatus	32223000
32224000-9	Television transmission apparatus	32224000
32230000-4	Radio transmission apparatus with reception apparatus	32230000
32231000-1	Closed-circuit television apparatus	32231000
32232000-8	Video-conferencing equipment	32232000
32233000-5	Radio-frequency booster stations	32233000
32234000-2	Closed-circuit television cameras	32234000
32235000-9	Closed-circuit surveillance system	32235000
32236000-6	Radio telephones	32236000
32237000-3	Walkie-talkies	32237000
32240000-7	Television cameras	32240000
32250000-0	Mobile telephones	32250000
32251000-7	Car telephones	32251000
32251100-8	Hands-free set	32251100
32252000-4	GSM telephones	32252000
32252100-5	Hands-free mobile telephones	32252100
32252110-8	Hands-free mobile telephones (wireless)	32252110
32260000-3	Data-transmission equipment	32260000
32270000-6	Digital transmission apparatus	32270000
32300000-6	Television and radio receivers, and sound or video recording or reproducing apparatus	32300000
32310000-9	Radio broadcast receivers	32310000
32320000-2	Television and audio-visual equipment	32320000
32321000-9	Television projection equipment	32321000
32321100-0	Film equipment	32321100
32321200-1	Audio-visual equipment	32321200
32321300-2	Audio-visual materials	32321300
32322000-6	Multimedia equipment	32322000
32323000-3	Video monitors	32323000
32323100-4	Colour video monitors	32323100
32323200-5	Monochrome video monitors	32323200
32323300-6	Video equipment	32323300
32323400-7	Video-playback equipment	32323400
32323500-8	Video-surveillance system	32323500
32324000-0	Televisions	32324000
32324100-1	Colour televisions	32324100
32324200-2	Monochrome televisions	32324200
32324300-3	Television equipment	32324300
32324310-6	Satellite antennas	32324310
32324400-4	Television aerials	32324400
32324500-5	Video tuners	32324500
32324600-6	Digital-TV boxes	32324600
32330000-5	Apparatus for sound, video-recording and reproduction	32330000
32331000-2	Turntables	32331000
32331100-3	Record players	32331100
32331200-4	Cassette players	32331200
32331300-5	Sound-reproduction apparatus	32331300
32331500-7	Recorders	32331500
32331600-8	MP3 player	32331600
32332000-9	Magnetic tape recorders	32332000
32332100-0	Dictating machines	32332100
32332200-1	Telephone-answering machines	32332200
32332300-2	Sound recorders	32332300
32333000-6	Video recording or reproducing apparatus	32333000
32333100-7	Video recorders	32333100
32333200-8	Video camcorders	32333200
32333300-9	Video-reproducing apparatus	32333300
32333400-0	Video players	32333400
32340000-8	Microphones and loudspeakers	32340000
32341000-5	Microphones	32341000
32342000-2	Loudspeakers	32342000
32342100-3	Headphones	32342100
32342200-4	Earphones	32342200
32342300-5	Microphones and speaker sets	32342300
32342400-6	Acoustic devices	32342400
32342410-9	Sound equipment	32342410
32342411-6	Mini speakers	32342411
32342412-3	Speakers	32342412
32342420-2	Studio mixing console	32342420
32342430-5	Speech-compression system	32342430
32342440-8	Voice-mail system	32342440
32342450-1	Voice recorders	32342450
32343000-9	Amplifiers	32343000
32343100-0	Audio-frequency amplifiers	32343100
32343200-1	Megaphones	32343200
32344000-6	Reception apparatus for radiotelephony or radiotelegraphy	32344000
32344100-7	Portable receivers for calling and paging	32344100
32344110-0	Voice-logging system	32344110
32344200-8	Radio receivers	32344200
32344210-1	Radio equipment	32344210
32344220-4	Radio pagers	32344220
32344230-7	Radio stations	32344230
32344240-0	Radio tower	32344240
32344250-3	Radio installations	32344250
32344260-6	Radio and multiplex equipment	32344260
32344270-9	Radio and telephone control system	32344270
32344280-2	Portable radios	32344280
32350000-1	Parts of sound and video equipment	32350000
32351000-8	Accessories for sound and video equipment	32351000
32351100-9	Video-editing equipment	32351100
32351200-0	Screens	32351200
32351300-1	Audio equipment accessories	32351300
32351310-4	Audio cassettes	32351310
32352000-5	Aerials and reflectors	32352000
32352100-6	Parts of radio and radar equipment	32352100
32352200-7	Radar spare parts and accessories	32352200
